Analizing File:  ImageValidator.c
        0.74 real         0.19 user         0.01 sys
Analizing File:  transform8x8.c
        0.61 real         0.11 user         0.01 sys
        0.65 real         0.11 user         0.01 sys
        0.63 real         0.11 user         0.01 sys
        0.62 real         0.11 user         0.01 sys
        0.63 real         0.11 user         0.01 sys
        0.62 real         0.11 user         0.01 sys
        0.62 real         0.11 user         0.01 sys
        0.63 real         0.11 user         0.01 sys
        0.62 real         0.11 user         0.01 sys
        0.62 real         0.11 user         0.01 sys
Analizing File:  vlc.c
        0.99 real         0.24 user         0.01 sys
        1.01 real         0.24 user         0.01 sys
        0.99 real         0.24 user         0.01 sys
        0.98 real         0.24 user         0.01 sys
        1.01 real         0.25 user         0.01 sys
        1.07 real         0.24 user         0.01 sys
        1.00 real         0.24 user         0.01 sys
        0.99 real         0.24 user         0.01 sys
        1.01 real         0.25 user         0.01 sys
        0.98 real         0.24 user         0.01 sys
Analizing File:  win32.c
        0.45 real         0.03 user         0.00 sys
        0.51 real         0.04 user         0.00 sys
        0.48 real         0.03 user         0.01 sys
        0.44 real         0.03 user         0.00 sys
        0.45 real         0.03 user         0.00 sys
        0.46 real         0.03 user         0.00 sys
        0.45 real         0.03 user         0.00 sys
        0.45 real         0.03 user         0.00 sys
        0.48 real         0.03 user         0.00 sys
        0.45 real         0.03 user         0.00 sys
Analizing File:  cabac.c
        1.34 real         0.15 user         0.01 sys
        1.31 real         0.15 user         0.01 sys
        1.31 real         0.15 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
        1.31 real         0.15 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.31 real         0.15 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
        1.32 real         0.15 user         0.01 sys
Analizing File:  common.c
        1.71 real         0.44 user         0.01 sys
        1.83 real         0.46 user         0.01 sys
        1.76 real         0.44 user         0.01 sys
        1.69 real         0.45 user         0.01 sys
        1.70 real         0.44 user         0.01 sys
        1.70 real         0.44 user         0.01 sys
        1.71 real         0.45 user         0.01 sys
        1.73 real         0.46 user         0.01 sys
        1.72 real         0.44 user         0.01 sys
        1.73 real         0.46 user         0.02 sys
Analizing File:  cpu.c
        0.78 real         0.03 user         0.01 sys
        0.78 real         0.04 user         0.00 sys
        0.78 real         0.03 user         0.01 sys
        0.75 real         0.03 user         0.01 sys
        0.77 real         0.03 user         0.01 sys
        0.76 real         0.03 user         0.00 sys
        0.75 real         0.03 user         0.00 sys
        0.76 real         0.03 user         0.01 sys
        0.81 real         0.03 user         0.01 sys
        0.75 real         0.03 user         0.00 sys
Analizing File:  dct.c
        1.98 real         0.57 user         0.01 sys
        1.99 real         0.57 user         0.01 sys
        2.00 real         0.57 user         0.01 sys
        2.04 real         0.58 user         0.01 sys
        2.02 real         0.57 user         0.01 sys
        2.07 real         0.57 user         0.03 sys
        2.02 real         0.57 user         0.01 sys
        2.00 real         0.57 user         0.01 sys
        2.01 real         0.57 user         0.01 sys
        2.05 real         0.57 user         0.01 sys
Analizing File:  deblock.c
        1.27 real         0.27 user         0.01 sys
        1.28 real         0.28 user         0.01 sys
        1.28 real         0.27 user         0.01 sys
        1.29 real         0.28 user         0.01 sys
        1.24 real         0.27 user         0.01 sys
        1.26 real         0.27 user         0.01 sys
        1.26 real         0.28 user         0.01 sys
        1.27 real         0.28 user         0.01 sys
