Analizing File:  tuklib_cpucores.c
        0.36 real         0.06 user         0.01 sys
        0.36 real         0.06 user         0.01 sys
Analizing File:  filter_flags_decoder.c
        0.30 real         0.04 user         0.01 sys
        0.30 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.30 real         0.04 user         0.01 sys
        0.28 real         0.04 user         0.01 sys
        0.29 real         0.04 user         0.00 sys
        0.31 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.01 sys
        0.29 real         0.04 user         0.00 sys
Analizing File:  filter_flags_encoder.c
        0.33 real         0.04 user         0.01 sys
        0.35 real         0.05 user         0.01 sys
        0.29 real         0.04 user         0.01 sys
        0.30 real         0.05 user         0.01 sys
        0.31 real         0.04 user         0.01 sys
        0.32 real         0.04 user         0.01 sys
        0.29 real         0.04 user         0.00 sys
        0.29 real         0.04 user         0.01 sys
        0.31 real         0.04 user         0.00 sys
        0.29 real         0.04 user         0.01 sys
Analizing File:  hardware_physmem.c
        0.26 real         0.03 user         0.00 sys
        0.27 real         0.03 user         0.00 sys
        0.27 real         0.03 user         0.01 sys
        0.28 real         0.03 user         0.01 sys
        0.27 real         0.03 user         0.01 sys
        0.26 real         0.03 user         0.00 sys
        0.28 real         0.03 user         0.00 sys
        0.29 real         0.03 user         0.01 sys
        0.26 real         0.03 user         0.01 sys
        0.26 real         0.03 user         0.00 sys
Analizing File:  index.c
        0.77 real         0.26 user         0.01 sys
        0.71 real         0.23 user         0.01 sys
        0.78 real         0.25 user         0.01 sys
        0.73 real         0.23 user         0.01 sys
        0.73 real         0.23 user         0.01 sys
        0.73 real         0.23 user         0.01 sys
        0.75 real         0.24 user         0.01 sys
        0.74 real         0.23 user         0.01 sys
        0.72 real         0.23 user         0.01 sys
        0.74 real         0.24 user         0.01 sys
Analizing File:  index_decoder.c
        0.40 real         0.09 user         0.01 sys
        0.40 real         0.09 user         0.01 sys
        0.44 real         0.09 user         0.03 sys
        0.43 real         0.10 user         0.01 sys
        0.43 real         0.09 user         0.01 sys
        0.40 real         0.09 user         0.01 sys
        0.43 real         0.09 user         0.01 sys
        0.42 real         0.10 user         0.01 sys
        0.49 real         0.09 user         0.01 sys
        0.47 real         0.09 user         0.01 sys
Analizing File:  index_encoder.c
        0.41 real         0.09 user         0.01 sys
        0.39 real         0.08 user         0.01 sys
        0.43 real         0.08 user         0.01 sys
        0.37 real         0.07 user         0.01 sys
        0.38 real         0.07 user         0.01 sys
        0.38 real         0.08 user         0.01 sys
        0.37 real         0.08 user         0.01 sys
        0.37 real         0.08 user         0.01 sys
        0.42 real         0.08 user         0.01 sys
        0.39 real         0.09 user         0.00 sys
Analizing File:  index_hash.c
        0.41 real         0.08 user         0.01 sys
        0.39 real         0.08 user         0.01 sys
        0.40 real         0.09 user         0.01 sys
        0.41 real         0.08 user         0.01 sys
        0.39 real         0.08 user         0.01 sys
        0.41 real         0.09 user         0.01 sys
        0.41 real         0.08 user         0.01 sys
        0.40 real         0.08 user         0.01 sys
        0.40 real         0.08 user         0.01 sys
        0.46 real         0.09 user         0.01 sys
Analizing File:  stream_buffer_decoder.c
        0.42 real         0.05 user         0.01 sys
        0.31 real         0.05 user         0.01 sys
        0.30 real         0.04 user         0.01 sys
        0.32 real         0.04 user         0.01 sys
        0.29 real         0.04 user         0.01 sys
        0.35 real         0.05 user         0.01 sys
        0.30 real         0.04 user         0.01 sys
        0.30 real         0.04 user         0.01 sys
        0.30 real         0.05 user         0.01 sys
        0.30 real         0.04 user         0.01 sys
Analizing File:  stream_buffer_encoder.c
        0.33 real         0.06 user         0.01 sys
        0.36 real         0.07 user         0.00 sys
        0.32 real         0.05 user         0.01 sys
        0.32 real         0.05 user         0.01 sys
        0.32 real         0.05 user         0.01 sys
        0.38 real         0.06 user         0.01 sys
        0.33 real         0.05 user         0.01 sys
        0.34 real         0.05 user         0.01 sys
        0.34 real         0.05 user         0.01 sys
        0.35 real         0.05 user         0.01 sys
Analizing File:  stream_decoder.c
        0.52 real         0.13 user         0.01 sys
        0.47 real         0.11 user         0.01 sys
        0.43 real         0.11 user         0.01 sys
        0.44 real         0.11 user         0.01 sys
        0.45 real         0.11 user         0.01 sys
        0.47 real         0.12 user         0.01 sys
        0.48 real         0.12 user         0.01 sys
        0.49 real         0.12 user         0.01 sys
        0.48 real         0.11 user         0.01 sys
        0.47 real         0.11 user         0.01 sys
Analizing File:  stream_encoder.c
        0.47 real         0.12 user         0.01 sys
        0.44 real         0.11 user         0.01 sys
        0.46 real         0.12 user         0.01 sys
        0.48 real         0.11 user         0.01 sys
        0.49 real         0.10 user         0.01 sys
        0.48 real         0.11 user         0.01 sys
        0.50 real         0.12 user         0.01 sys
        0.45 real         0.10 user         0.01 sys
        0.43 real         0.10 user         0.01 sys
        0.43 real         0.10 user         0.01 sys
Analizing File:  stream_flags_common.c
        0.29 real         0.04 user         0.01 sys
        0.30 real         0.04 user         0.00 sys
        0.29 real         0.04 user         0.00 sys
        0.32 real         0.04 user         0.01 sys
        0.35 real         0.04 user         0.01 sys
        0.33 real         0.04 user         0.01 sys
        0.36 real         0.04 user         0.01 sys
        0.30 real         0.04 user         0.01 sys
        0.29 real         0.03 user         0.01 sys
        0.33 real         0.04 user         0.01 sys
Analizing File:  stream_flags_decoder.c
        0.35 real         0.05 user         0.01 sys
        0.35 real         0.06 user         0.01 sys
        0.31 real         0.05 user         0.01 sys
        0.35 real         0.05 user         0.01 sys
        0.30 real         0.04 user         0.01 sys
        0.31 real         0.04 user         0.01 sys
        0.30 real         0.04 user         0.01 sys
        0.35 real         0.05 user         0.01 sys
        0.34 real         0.05 user         0.01 sys
        0.35 real         0.05 user         0.01 sys
Analizing File:  stream_flags_encoder.c
        0.33 real         0.05 user         0.01 sys
        0.31 real         0.04 user         0.01 sys
        0.30 real         0.04 user         0.01 sys
        0.69 real         0.06 user         0.01 sys
        0.32 real         0.04 user         0.00 sys
        0.59 real         0.05 user         0.01 sys
        0.52 real         0.06 user         0.01 sys
        0.34 real         0.05 user         0.01 sys
        0.31 real         0.04 user         0.01 sys
        0.35 real         0.04 user         0.01 sys
Analizing File:  vli_decoder.c
        0.35 real         0.04 user         0.01 sys
        0.32 real         0.04 user         0.01 sys
        0.31 real         0.05 user         0.01 sys
        0.29 real         0.04 user         0.01 sys
        0.31 real         0.04 user         0.01 sys
        0.30 real         0.04 user         0.01 sys
        0.32 real         0.04 user         0.01 sys
        0.31 real         0.04 user         0.01 sys
        0.38 real         0.04 user         0.01 sys
        0.29 real         0.04 user         0.00 sys
Analizing File:  vli_encoder.c
        0.40 real         0.04 user         0.01 sys
        0.34 real         0.04 user         0.01 sys
        0.30 real         0.04 user         0.01 sys
        0.30 real         0.04 user         0.00 sys
        0.29 real         0.03 user         0.01 sys
        0.29 real         0.03 user         0.00 sys
        0.38 real         0.05 user         0.01 sys
        0.30 real         0.04 user         0.01 sys
