Analizing File:  DynaLoader.c
Analizing File:  keywords.c
        4.09 real         0.30 user         0.02 sys
        3.49 real         0.38 user         0.02 sys
        2.81 real         0.37 user         0.02 sys
        3.42 real         0.38 user         0.02 sys
        3.53 real         0.40 user         0.02 sys
        3.48 real         0.39 user         0.03 sys
        3.79 real         0.68 user         0.02 sys
        4.42 real         0.47 user         0.08 sys
        3.95 real         0.42 user         0.03 sys
        3.58 real         0.41 user         0.02 sys
Analizing File:  locale.c
        2.36 real         0.05 user         0.01 sys
        2.38 real         0.08 user         0.02 sys
        2.79 real         0.07 user         0.01 sys
        2.54 real         0.06 user         0.01 sys
        2.71 real         0.06 user         0.01 sys
        2.81 real         0.08 user         0.01 sys
        2.94 real         0.06 user         0.02 sys
        2.59 real         0.06 user         0.01 sys
        2.62 real         0.08 user         0.02 sys
        2.73 real         0.07 user         0.01 sys
Analizing File:  mathoms.c
        4.69 real         0.50 user         0.06 sys
        4.54 real         0.52 user         0.02 sys
        5.11 real         0.41 user         0.04 sys
        4.97 real         0.41 user         0.03 sys
        5.31 real         0.41 user         0.03 sys
        5.11 real         0.52 user         0.02 sys
        5.62 real         0.42 user         0.03 sys
        4.52 real         0.53 user         0.03 sys
        5.56 real         0.47 user         0.04 sys
        4.66 real         0.53 user         0.07 sys
Analizing File:  mg.c
        7.27 real         1.01 user         0.06 sys
        6.39 real         1.16 user         0.03 sys
        7.35 real         1.21 user         0.08 sys
        6.26 real         1.19 user         0.03 sys
        6.25 real         1.17 user         0.04 sys
        8.99 real         1.29 user         0.15 sys
       15.88 real         2.23 user         0.13 sys
       10.17 real         2.02 user         0.08 sys
        9.97 real         1.79 user         0.15 sys
        9.82 real         1.76 user         0.05 sys
Analizing File:  mro_core.c
        7.90 real         1.27 user         0.05 sys
        8.49 real         1.26 user         0.13 sys
       36.28 real         1.27 user         0.29 sys
       10.98 real         1.21 user         0.05 sys
        7.94 real         1.12 user         0.06 sys
        6.43 real         0.88 user         0.04 sys
        2.79 real         0.36 user         0.03 sys
       18.25 real         1.26 user         0.16 sys
       10.67 real         1.11 user         0.04 sys
        6.81 real         1.04 user         0.05 sys
Analizing File:  numeric.c
        5.88 real         0.47 user         0.03 sys
        4.47 real         0.20 user         0.02 sys
        1.52 real         0.17 user         0.01 sys
        1.85 real         0.19 user         0.01 sys
        1.67 real         0.17 user         0.01 sys
        1.60 real         0.19 user         0.01 sys
        2.58 real         0.20 user         0.01 sys
        1.57 real         0.18 user         0.01 sys
        1.69 real         0.16 user         0.01 sys
        1.58 real         0.16 user         0.01 sys
Analizing File:  op.c
        6.50 real         1.72 user         0.03 sys
        8.05 real         1.90 user         0.05 sys
        7.43 real         1.99 user         0.06 sys
        7.10 real         1.85 user         0.04 sys
        6.63 real         1.80 user         0.04 sys
        7.22 real         1.86 user         0.05 sys
        7.04 real         1.87 user         0.05 sys
        6.64 real         1.75 user         0.03 sys
        6.59 real         1.76 user         0.03 sys
        6.56 real         1.75 user         0.03 sys
Analizing File:  pad.c
        1.98 real         0.30 user         0.01 sys
        2.03 real         0.29 user         0.01 sys
        2.11 real         0.30 user         0.01 sys
        2.21 real         0.28 user         0.01 sys
        2.14 real         0.30 user         0.01 sys
        2.10 real         0.31 user         0.01 sys
        1.96 real         0.30 user         0.01 sys
        2.05 real         0.28 user         0.01 sys
        2.07 real         0.29 user         0.01 sys
        2.30 real         0.32 user         0.01 sys
Analizing File:  perl.c
        4.01 real         0.49 user         0.02 sys
        3.62 real         0.50 user         0.02 sys
        3.58 real         0.45 user         0.01 sys
        3.80 real         0.47 user         0.03 sys
        3.38 real         0.45 user         0.01 sys
        3.42 real         0.46 user         0.03 sys
        3.92 real         0.48 user         0.02 sys
        3.83 real         0.49 user         0.02 sys
        3.83 real         0.54 user         0.02 sys
        3.40 real         0.45 user         0.01 sys
Analizing File:  perlapi.c
        1.49 real         0.03 user         0.00 sys
        1.10 real         0.03 user         0.00 sys
        1.32 real         0.03 user         0.00 sys
        1.45 real         0.03 user         0.00 sys
        1.81 real         0.03 user         0.01 sys
        1.09 real         0.03 user         0.00 sys
        1.19 real         0.03 user         0.00 sys
        1.08 real         0.03 user         0.00 sys
        1.14 real         0.02 user         0.00 sys
        1.11 real         0.03 user         0.00 sys
Analizing File:  perlio.c
        2.77 real         0.46 user         0.01 sys
        3.01 real         0.51 user         0.02 sys
        2.41 real         0.46 user         0.01 sys
        2.46 real         0.46 user         0.01 sys
        2.88 real         0.49 user         0.02 sys
        2.75 real         0.54 user         0.02 sys
        2.69 real         0.47 user         0.01 sys
        2.91 real         0.50 user         0.02 sys
        2.58 real         0.51 user         0.02 sys
        3.09 real         0.48 user         0.01 sys
Analizing File:  perlmain.c
        1.37 real         0.04 user         0.00 sys
        1.17 real         0.04 user         0.00 sys
        1.63 real         0.05 user         0.00 sys
        1.23 real         0.04 user         0.00 sys
        1.09 real         0.04 user         0.00 sys
        1.21 real         0.04 user         0.00 sys
        1.27 real         0.04 user         0.00 sys
        1.23 real         0.04 user         0.00 sys
        1.22 real         0.04 user         0.00 sys
        1.15 real         0.04 user         0.00 sys
Analizing File:  perly.c
        2.29 real         0.24 user         0.01 sys
        2.57 real         0.23 user         0.01 sys
        2.38 real         0.23 user         0.01 sys
        2.23 real         0.23 user         0.01 sys
        2.23 real         0.23 user         0.01 sys
        2.41 real         0.25 user         0.01 sys
        2.47 real         0.25 user         0.01 sys
        2.51 real         0.26 user         0.01 sys
        2.36 real         0.24 user         0.01 sys
        2.23 real         0.23 user         0.01 sys
Analizing File:  pp.c
        5.38 real         1.36 user         0.03 sys
        5.30 real         1.31 user         0.02 sys
        6.00 real         1.40 user         0.04 sys
        5.65 real         1.45 user         0.04 sys
        5.71 real         1.40 user         0.03 sys
        5.28 real         1.32 user         0.02 sys
        6.59 real         1.47 user         0.04 sys
        5.79 real         1.44 user         0.05 sys
        6.02 real         1.38 user         0.05 sys
        8.26 real         1.80 user         0.07 sys
Analizing File:  pp_ctl.c
