Analizing File:  DynaLoader.c
        2.61 real         0.07 user         0.01 sys
        2.57 real         0.06 user         0.04 sys
        2.58 real         0.07 user         0.02 sys
        3.02 real         0.09 user         0.02 sys
        2.62 real         0.06 user         0.01 sys
Analizing File:  mathoms.c
        5.50 real         0.40 user         0.04 sys
        4.74 real         0.49 user         0.02 sys
        4.76 real         0.52 user         0.02 sys
        4.68 real         0.42 user         0.04 sys
        4.53 real         0.51 user         0.03 sys
        4.56 real         0.52 user         0.03 sys
        4.67 real         0.48 user         0.08 sys
        4.50 real         0.54 user         0.03 sys
        5.48 real         0.44 user         0.03 sys
        4.78 real         0.55 user         0.03 sys
Analizing File:  mg.c
        6.54 real         1.15 user         0.04 sys
        7.61 real         1.11 user         0.08 sys
        6.30 real         1.18 user         0.04 sys
        6.21 real         1.15 user         0.03 sys
        6.63 real         1.17 user         0.03 sys
       11.29 real         1.67 user         0.09 sys
       18.77 real         2.62 user         0.20 sys
        9.75 real         1.77 user         0.06 sys
       10.34 real         1.93 user         0.08 sys
        9.57 real         1.77 user         0.05 sys
Analizing File:  mro_core.c
        8.23 real         1.24 user         0.05 sys
        8.06 real         1.29 user         0.12 sys
     6773.29 real         1.30 user         0.32 sys
       11.40 real         1.24 user         0.06 sys
        8.53 real         1.02 user         0.11 sys
        6.45 real         1.00 user         0.05 sys
        6.99 real         0.42 user         0.02 sys
       54.77 real         1.15 user         0.25 sys
        8.52 real         1.06 user         0.04 sys
        8.23 real         1.10 user         0.04 sys
Analizing File:  numeric.c
        6.39 real         0.45 user         0.03 sys
        4.56 real         0.43 user         0.02 sys
        1.51 real         0.16 user         0.01 sys
        1.82 real         0.16 user         0.01 sys
        1.49 real         0.16 user         0.01 sys
        1.62 real         0.17 user         0.01 sys
        1.70 real         0.16 user         0.01 sys
        1.75 real         0.16 user         0.01 sys
        2.06 real         0.18 user         0.01 sys
        1.52 real         0.16 user         0.01 sys
Analizing File:  op.c
        6.98 real         1.73 user         0.04 sys
        8.17 real         1.85 user         0.04 sys
        7.94 real         1.86 user         0.05 sys
        6.89 real         1.81 user         0.04 sys
        6.54 real         1.73 user         0.03 sys
        7.41 real         1.79 user         0.04 sys
        6.98 real         1.74 user         0.04 sys
        7.68 real         1.93 user         0.05 sys
        6.72 real         1.78 user         0.03 sys
        6.71 real         1.73 user         0.03 sys
Analizing File:  pad.c
        1.99 real         0.30 user         0.01 sys
        2.06 real         0.30 user         0.01 sys
        2.26 real         0.32 user         0.01 sys
        2.22 real         0.34 user         0.01 sys
        2.19 real         0.31 user         0.01 sys
        2.07 real         0.31 user         0.01 sys
        2.07 real         0.33 user         0.01 sys
        2.13 real         0.30 user         0.01 sys
        2.11 real         0.31 user         0.01 sys
        2.37 real         0.34 user         0.01 sys
Analizing File:  perl.c
        4.21 real         0.46 user         0.02 sys
        3.60 real         0.46 user         0.01 sys
        3.55 real         0.51 user         0.04 sys
        3.34 real         0.44 user         0.02 sys
        3.52 real         0.46 user         0.01 sys
        3.88 real         0.47 user         0.02 sys
        4.16 real         0.46 user         0.01 sys
        4.42 real         0.50 user         0.04 sys
        3.75 real         0.48 user         0.02 sys
        3.43 real         0.47 user         0.01 sys
Analizing File:  perlapi.c
        1.26 real         0.03 user         0.00 sys
        1.17 real         0.03 user         0.00 sys
        1.14 real         0.03 user         0.00 sys
        1.17 real         0.03 user         0.00 sys
        1.53 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.13 real         0.02 user         0.00 sys
        1.06 real         0.02 user         0.00 sys
        1.09 real         0.03 user         0.00 sys
        1.08 real         0.03 user         0.00 sys
Analizing File:  perlio.c
        2.91 real         0.52 user         0.01 sys
        3.16 real         0.52 user         0.01 sys
        2.49 real         0.46 user         0.01 sys
        2.49 real         0.47 user         0.01 sys
        3.03 real         0.49 user         0.01 sys
        2.61 real         0.48 user         0.01 sys
        2.71 real         0.54 user         0.02 sys
        2.95 real         0.50 user         0.02 sys
        2.69 real         0.48 user         0.01 sys
        2.89 real         0.56 user         0.02 sys
Analizing File:  perlmain.c
        1.43 real         0.04 user         0.00 sys
        1.19 real         0.04 user         0.00 sys
        1.27 real         0.04 user         0.00 sys
        1.15 real         0.04 user         0.00 sys
        1.11 real         0.04 user         0.00 sys
        1.17 real         0.04 user         0.00 sys
