Analizing File:  DynaLoader.c
       21.81 real        14.33 user         0.07 sys
Analizing File:  re_exec.c
       20.01 real        15.84 user         0.05 sys
       20.30 real        15.88 user         0.05 sys
       20.24 real        16.11 user         0.05 sys
       20.30 real        16.09 user         0.06 sys
       20.03 real        15.87 user         0.05 sys
       20.94 real        16.76 user         0.07 sys
       20.18 real        16.05 user         0.06 sys
       20.35 real        16.19 user         0.06 sys
       20.62 real        16.51 user         0.06 sys
       20.02 real        15.88 user         0.05 sys
Analizing File:  globals.c
        1.91 real         0.14 user         0.01 sys
        1.86 real         0.13 user         0.01 sys
        1.88 real         0.13 user         0.01 sys
        1.92 real         0.13 user         0.02 sys
        1.89 real         0.14 user         0.01 sys
        2.04 real         0.14 user         0.03 sys
        1.89 real         0.13 user         0.01 sys
        1.87 real         0.13 user         0.01 sys
        1.90 real         0.14 user         0.00 sys
        1.87 real         0.14 user         0.01 sys
Analizing File:  gv.c
        3.15 real         0.83 user         0.01 sys
        3.15 real         0.83 user         0.01 sys
        3.16 real         0.83 user         0.01 sys
        3.25 real         0.83 user         0.01 sys
        3.12 real         0.82 user         0.01 sys
        3.16 real         0.82 user         0.01 sys
        3.13 real         0.82 user         0.01 sys
        3.14 real         0.83 user         0.01 sys
        3.16 real         0.83 user         0.02 sys
        3.66 real         0.95 user         0.02 sys
Analizing File:  hv.c
        2.54 real         0.57 user         0.01 sys
        2.58 real         0.58 user         0.01 sys
        2.67 real         0.58 user         0.01 sys
        3.15 real         0.68 user         0.03 sys
        2.66 real         0.59 user         0.04 sys
        2.63 real         0.59 user         0.02 sys
        3.11 real         0.63 user         0.02 sys
        3.86 real         0.64 user         0.08 sys
        3.24 real         0.74 user         0.03 sys
        4.21 real         0.79 user         0.04 sys
Analizing File:  keywords.c
        2.37 real         0.49 user         0.03 sys
        3.62 real         0.49 user         0.03 sys
        3.61 real         0.50 user         0.03 sys
        3.59 real         0.51 user         0.03 sys
        3.81 real         0.53 user         0.03 sys
        4.78 real         0.89 user         0.03 sys
        4.16 real         0.55 user         0.04 sys
        3.89 real         0.52 user         0.03 sys
        3.92 real         0.54 user         0.03 sys
        4.08 real         0.84 user         0.02 sys
Analizing File:  locale.c
        2.37 real         0.05 user         0.01 sys
        2.43 real         0.06 user         0.01 sys
        2.74 real         0.09 user         0.02 sys
        2.50 real         0.07 user         0.01 sys
        2.48 real         0.06 user         0.01 sys
        2.59 real         0.08 user         0.02 sys
        2.68 real         0.07 user         0.01 sys
        2.65 real         0.06 user         0.01 sys
        2.70 real         0.06 user         0.01 sys
        2.72 real         0.09 user         0.02 sys
