Analizing File:  DynaLoader.c
        1.29 real         0.05 user         0.01 sys
        1.31 real         0.06 user         0.01 sys
        1.52 real         0.05 user         0.00 sys
        1.25 real         0.05 user         0.01 sys
        1.37 real         0.05 user         0.00 sys
        1.24 real         0.05 user         0.00 sys
Analizing File:  re_comp.c
        4.00 real         0.03 user         0.00 sys
        3.96 real         0.03 user         0.00 sys
        4.00 real         0.02 user         0.00 sys
        4.02 real         0.02 user         0.01 sys
        3.93 real         0.02 user         0.00 sys
        3.96 real         0.02 user         0.00 sys
        3.96 real         0.02 user         0.00 sys
        3.95 real         0.03 user         0.00 sys
        3.95 real         0.02 user         0.00 sys
        4.75 real         0.03 user         0.00 sys
Analizing File:  re_exec.c
        5.97 real         1.44 user         0.03 sys
        5.54 real         1.35 user         0.02 sys
        5.65 real         1.33 user         0.02 sys
        5.46 real         1.32 user         0.02 sys
        5.53 real         1.33 user         0.02 sys
        5.49 real         1.30 user         0.02 sys
        5.75 real         1.37 user         0.03 sys
        5.80 real         1.41 user         0.03 sys
        5.79 real         1.38 user         0.03 sys
        5.90 real         1.36 user         0.03 sys
Analizing File:  globals.c
        1.99 real         0.14 user         0.00 sys
        1.95 real         0.14 user         0.00 sys
        2.18 real         0.16 user         0.01 sys
        2.01 real         0.14 user         0.00 sys
        3.18 real         0.15 user         0.03 sys
        2.26 real         0.14 user         0.01 sys
        2.07 real         0.14 user         0.00 sys
        1.99 real         0.15 user         0.01 sys
        3.41 real         0.19 user         0.01 sys
        2.48 real         0.18 user         0.01 sys
Analizing File:  gv.c
        2.93 real         0.62 user         0.01 sys
        3.12 real         0.64 user         0.02 sys
        3.11 real         0.62 user         0.02 sys
        3.45 real         0.70 user         0.04 sys
        2.99 real         0.62 user         0.01 sys
        2.94 real         0.61 user         0.01 sys
        3.00 real         0.62 user         0.01 sys
        3.36 real         0.71 user         0.02 sys
        4.21 real         0.68 user         0.02 sys
        3.19 real         0.70 user         0.02 sys
Analizing File:  hv.c
        3.27 real         0.49 user         0.01 sys
        2.56 real         0.49 user         0.01 sys
        2.80 real         0.48 user         0.01 sys
        2.65 real         0.50 user         0.01 sys
        2.87 real         0.48 user         0.02 sys
        3.31 real         0.58 user         0.02 sys
        2.54 real         0.48 user         0.01 sys
        2.62 real         0.50 user         0.02 sys
        2.66 real         0.50 user         0.02 sys
        3.20 real         0.66 user         0.02 sys
Analizing File:  keywords.c
        1.79 real         0.25 user         0.01 sys
        1.77 real         0.25 user         0.01 sys
        2.00 real         0.26 user         0.01 sys
        1.81 real         0.26 user         0.01 sys
        1.77 real         0.25 user         0.01 sys
        2.10 real         0.25 user         0.01 sys
        1.87 real         0.26 user         0.01 sys
        1.80 real         0.26 user         0.01 sys
        2.03 real         0.28 user         0.01 sys
        1.74 real         0.25 user         0.01 sys
Analizing File:  locale.c
        1.07 real         0.03 user         0.00 sys
        1.10 real         0.03 user         0.00 sys
        1.09 real         0.03 user         0.00 sys
        1.07 real         0.03 user         0.00 sys
        1.14 real         0.03 user         0.00 sys
        1.27 real         0.03 user         0.00 sys
        1.19 real         0.04 user         0.01 sys
        1.24 real         0.03 user         0.00 sys
        1.38 real         0.03 user         0.00 sys
        1.14 real         0.04 user         0.00 sys
Analizing File:  mathoms.c
        1.86 real         0.21 user         0.01 sys
        1.84 real         0.20 user         0.01 sys
        1.85 real         0.22 user         0.01 sys
        1.84 real         0.21 user         0.01 sys
        1.84 real         0.21 user         0.01 sys
        1.83 real         0.21 user         0.01 sys
        1.83 real         0.21 user         0.01 sys
        1.84 real         0.20 user         0.01 sys
        1.86 real         0.21 user         0.01 sys
        1.87 real         0.21 user         0.01 sys
Analizing File:  mg.c
        2.54 real         0.46 user         0.01 sys
        2.51 real         0.46 user         0.01 sys
        2.51 real         0.45 user         0.01 sys
        2.52 real         0.45 user         0.01 sys
        2.53 real         0.47 user         0.01 sys
        2.49 real         0.46 user         0.01 sys
        2.50 real         0.46 user         0.01 sys
        2.52 real         0.46 user         0.01 sys
        2.55 real         0.46 user         0.01 sys
        2.50 real         0.45 user         0.01 sys
Analizing File:  mro_core.c
        2.05 real         0.32 user         0.01 sys
        1.99 real         0.32 user         0.01 sys
        2.02 real         0.32 user         0.01 sys
        2.00 real         0.32 user         0.01 sys
        2.02 real         0.34 user         0.01 sys
        2.21 real         0.36 user         0.01 sys
        2.03 real         0.33 user         0.01 sys
        2.03 real         0.33 user         0.01 sys
        2.01 real         0.32 user         0.01 sys
        2.00 real         0.32 user         0.01 sys
Analizing File:  numeric.c
        1.56 real         0.16 user         0.01 sys
        1.48 real         0.15 user         0.01 sys
        1.51 real         0.16 user         0.01 sys
        1.48 real         0.16 user         0.01 sys
        1.47 real         0.15 user         0.00 sys
        1.47 real         0.16 user         0.00 sys
        1.47 real         0.15 user         0.00 sys
        1.47 real         0.16 user         0.01 sys
        1.50 real         0.15 user         0.01 sys
        1.48 real         0.16 user         0.01 sys
Analizing File:  op.c
        6.49 real         1.71 user         0.03 sys
        6.50 real         1.73 user         0.03 sys
        6.67 real         1.71 user         0.03 sys
        6.48 real         1.72 user         0.03 sys
        6.54 real         1.71 user         0.03 sys
        6.47 real         1.72 user         0.03 sys
        6.47 real         1.71 user         0.03 sys
        6.55 real         1.74 user         0.03 sys
        6.46 real         1.72 user         0.03 sys
        6.48 real         1.72 user         0.03 sys
Analizing File:  pad.c
        1.93 real         0.28 user         0.01 sys
        1.90 real         0.28 user         0.01 sys
        1.91 real         0.29 user         0.01 sys
        1.91 real         0.29 user         0.01 sys
        1.91 real         0.29 user         0.01 sys
        1.90 real         0.29 user         0.01 sys
        1.93 real         0.29 user         0.01 sys
        1.97 real         0.29 user         0.01 sys
        1.90 real         0.28 user         0.01 sys
        1.90 real         0.28 user         0.01 sys
Analizing File:  perl.c
        3.17 real         0.44 user         0.01 sys
        3.19 real         0.44 user         0.01 sys
        3.32 real         0.45 user         0.01 sys
        3.20 real         0.45 user         0.01 sys
        3.18 real         0.44 user         0.01 sys
        3.21 real         0.44 user         0.01 sys
        3.12 real         0.43 user         0.01 sys
        3.17 real         0.44 user         0.01 sys
        3.13 real         0.43 user         0.01 sys
        3.13 real         0.46 user         0.01 sys
Analizing File:  perlapi.c
        1.06 real         0.03 user         0.00 sys
        1.04 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.04 real         0.03 user         0.00 sys
        1.07 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.08 real         0.03 user         0.00 sys
        1.04 real         0.03 user         0.00 sys
Analizing File:  perlio.c
        2.41 real         0.46 user         0.01 sys
        2.44 real         0.46 user         0.01 sys
        2.44 real         0.46 user         0.01 sys
        2.47 real         0.46 user         0.01 sys
        2.50 real         0.47 user         0.01 sys
        2.71 real         0.50 user         0.02 sys
        2.59 real         0.48 user         0.01 sys
        2.50 real         0.47 user         0.01 sys
        2.51 real         0.47 user         0.01 sys
        2.50 real         0.48 user         0.01 sys
Analizing File:  perlmain.c
        1.17 real         0.04 user         0.01 sys
        1.10 real         0.04 user         0.00 sys
        1.11 real         0.04 user         0.01 sys
        1.10 real         0.04 user         0.01 sys
        1.12 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.10 real         0.04 user         0.00 sys
        1.11 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
Analizing File:  perly.c
        2.26 real         0.24 user         0.01 sys
        2.20 real         0.24 user         0.01 sys
        2.24 real         0.26 user         0.01 sys
        2.20 real         0.24 user         0.01 sys
        2.20 real         0.24 user         0.01 sys
        2.19 real         0.24 user         0.01 sys
        2.19 real         0.24 user         0.01 sys
        2.21 real         0.24 user         0.01 sys
        2.33 real         0.24 user         0.01 sys
        2.21 real         0.23 user         0.01 sys
Analizing File:  pp.c
        2.64 real         0.02 user         0.00 sys
        2.59 real         0.02 user         0.00 sys
        2.62 real         0.02 user         0.00 sys
        2.61 real         0.02 user         0.00 sys
        2.62 real         0.02 user         0.00 sys
        2.67 real         0.02 user         0.00 sys
        2.61 real         0.02 user         0.00 sys
        2.67 real         0.03 user         0.00 sys
        2.59 real         0.03 user         0.00 sys
        2.59 real         0.02 user         0.00 sys
Analizing File:  pp_ctl.c
        4.48 real         1.12 user         0.02 sys
        4.49 real         1.12 user         0.02 sys
        4.51 real         1.12 user         0.02 sys
        4.50 real         1.11 user         0.02 sys
        4.56 real         1.16 user         0.02 sys
        4.50 real         1.12 user         0.02 sys
        4.52 real         1.12 user         0.02 sys
        4.54 real         1.13 user         0.02 sys
        4.51 real         1.12 user         0.02 sys
        4.64 real         1.15 user         0.02 sys
Analizing File:  pp_hot.c
        3.39 real         0.73 user         0.01 sys
        3.32 real         0.73 user         0.02 sys
        3.46 real         0.72 user         0.01 sys
        3.36 real         0.72 user         0.02 sys
        3.34 real         0.74 user         0.02 sys
        3.32 real         0.72 user         0.01 sys
        3.31 real         0.72 user         0.01 sys
        3.57 real         0.77 user         0.02 sys
        3.32 real         0.72 user         0.01 sys
        3.36 real         0.72 user         0.01 sys
Analizing File:  pp_sort.c
        1.29 real         0.02 user         0.00 sys
        1.29 real         0.03 user         0.00 sys
        1.35 real         0.02 user         0.00 sys
        1.28 real         0.02 user         0.00 sys
        1.37 real         0.02 user         0.00 sys
        1.27 real         0.02 user         0.00 sys
        1.30 real         0.02 user         0.00 sys
        1.30 real         0.02 user         0.00 sys
        1.29 real         0.02 user         0.00 sys
        1.26 real         0.02 user         0.00 sys
Analizing File:  pp_sys.c
        3.37 real         0.71 user         0.02 sys
        3.37 real         0.72 user         0.02 sys
        3.28 real         0.71 user         0.02 sys
        3.35 real         0.70 user         0.01 sys
        3.24 real         0.69 user         0.01 sys
        3.49 real         0.69 user         0.01 sys
        3.27 real         0.71 user         0.01 sys
        3.25 real         0.70 user         0.02 sys
        3.35 real         0.77 user         0.02 sys
        3.24 real         0.70 user         0.01 sys
Analizing File:  reentr.c
        1.04 real         0.03 user         0.00 sys
        1.07 real         0.03 user         0.01 sys
        1.07 real         0.03 user         0.00 sys
        1.07 real         0.03 user         0.00 sys
        1.20 real         0.04 user         0.00 sys
        1.08 real         0.03 user         0.00 sys
        1.06 real         0.03 user         0.00 sys
        1.06 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.06 real         0.03 user         0.00 sys
Analizing File:  run.c
        1.06 real         0.03 user         0.00 sys
        1.09 real         0.04 user         0.01 sys
        1.07 real         0.03 user         0.00 sys
