Analizing File:  DynaLoader.c
        1.29 real         0.04 user         0.01 sys
Analizing File:  NamedCapture.c
        1.19 real         0.08 user         0.01 sys
        1.27 real         0.08 user         0.01 sys
        1.20 real         0.08 user         0.01 sys
        1.17 real         0.08 user         0.01 sys
        1.19 real         0.08 user         0.01 sys
        1.23 real         0.08 user         0.01 sys
        1.25 real         0.08 user         0.01 sys
        1.16 real         0.08 user         0.01 sys
        1.23 real         0.08 user         0.01 sys
        2.28 real         0.08 user         0.01 sys
Analizing File:  stdio.c
        0.23 real         0.04 user         0.01 sys
        0.13 real         0.04 user         0.00 sys
        0.17 real         0.04 user         0.00 sys
        0.22 real         0.04 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.11 real         0.03 user         0.00 sys
        0.11 real         0.03 user         0.00 sys
Analizing File:  arybase.c
        1.64 real         0.17 user         0.01 sys
        1.68 real         0.16 user         0.01 sys
        1.54 real         0.15 user         0.01 sys
        1.69 real         0.16 user         0.01 sys
        1.41 real         0.15 user         0.01 sys
        1.40 real         0.15 user         0.01 sys
        1.95 real         0.16 user         0.01 sys
        1.47 real         0.15 user         0.01 sys
        1.44 real         0.16 user         0.01 sys
        1.63 real         0.16 user         0.01 sys
Analizing File:  attributes.c
        1.51 real         0.09 user         0.01 sys
        1.44 real         0.09 user         0.00 sys
        1.28 real         0.09 user         0.01 sys
        1.29 real         0.09 user         0.01 sys
        1.27 real         0.09 user         0.01 sys
        1.31 real         0.09 user         0.00 sys
        1.26 real         0.08 user         0.00 sys
        1.34 real         0.09 user         0.00 sys
        1.28 real         0.08 user         0.01 sys
        1.27 real         0.09 user         0.01 sys
Analizing File:  mro.c
        1.54 real         0.16 user         0.01 sys
        1.52 real         0.16 user         0.01 sys
        1.54 real         0.17 user         0.01 sys
        1.50 real         0.16 user         0.01 sys
        1.49 real         0.16 user         0.01 sys
        1.47 real         0.16 user         0.01 sys
        1.45 real         0.16 user         0.01 sys
        1.48 real         0.16 user         0.01 sys
        1.58 real         0.17 user         0.01 sys
        1.61 real         0.16 user         0.01 sys
Analizing File:  re.c
        1.20 real         0.05 user         0.01 sys
        1.22 real         0.05 user         0.00 sys
        1.28 real         0.05 user         0.00 sys
        1.23 real         0.05 user         0.00 sys
        1.26 real         0.05 user         0.00 sys
        1.14 real         0.05 user         0.00 sys
        1.24 real         0.05 user         0.01 sys
        2.08 real         0.05 user         0.01 sys
        1.27 real         0.05 user         0.00 sys
        1.40 real         0.05 user         0.04 sys
Analizing File:  re_comp.c
        4.05 real         0.03 user         0.00 sys
        3.99 real         0.03 user         0.00 sys
        4.00 real         0.02 user         0.00 sys
        4.03 real         0.02 user         0.00 sys
        3.96 real         0.03 user         0.00 sys
        3.95 real         0.02 user         0.00 sys
        3.89 real         0.02 user         0.00 sys
        3.95 real         0.03 user         0.00 sys
        3.93 real         0.03 user         0.00 sys
        3.97 real         0.02 user         0.00 sys
Analizing File:  re_exec.c
        6.09 real         1.40 user         0.03 sys
        5.51 real         1.32 user         0.02 sys
        6.18 real         1.34 user         0.03 sys
        5.38 real         1.23 user         0.02 sys
        5.37 real         1.22 user         0.02 sys
        5.53 real         1.23 user         0.02 sys
        6.24 real         1.30 user         0.03 sys
        5.83 real         1.31 user         0.03 sys
        5.77 real         1.27 user         0.03 sys
        5.88 real         1.29 user         0.03 sys
Analizing File:  globals.c
        2.09 real         0.15 user         0.01 sys
        1.97 real         0.14 user         0.00 sys
        2.28 real         0.18 user         0.01 sys
        2.12 real         0.16 user         0.01 sys
        2.59 real         0.16 user         0.01 sys
        2.17 real         0.15 user         0.00 sys
        2.14 real         0.14 user         0.01 sys
        2.07 real         0.15 user         0.03 sys
        2.31 real         0.18 user         0.02 sys
        2.52 real         0.19 user         0.01 sys
