Analizing File:  tga.c
        0.97 real         0.13 user         0.01 sys
        0.99 real         0.13 user         0.01 sys
        0.94 real         0.13 user         0.01 sys
        0.98 real         0.12 user         0.01 sys
        0.96 real         0.13 user         0.01 sys
Analizing File:  module.c
        0.75 real         0.04 user         0.01 sys
        0.71 real         0.04 user         0.01 sys
        0.73 real         0.04 user         0.01 sys
        0.71 real         0.04 user         0.01 sys
        0.73 real         0.04 user         0.00 sys
        0.72 real         0.04 user         0.01 sys
        0.73 real         0.05 user         0.01 sys
        0.73 real         0.04 user         0.01 sys
        0.73 real         0.04 user         0.01 sys
        0.77 real         0.04 user         0.01 sys
Analizing File:  monitor.c
        0.56 real         0.03 user         0.01 sys
        0.57 real         0.04 user         0.01 sys
        0.58 real         0.03 user         0.01 sys
        0.56 real         0.03 user         0.01 sys
        0.58 real         0.03 user         0.01 sys
        0.56 real         0.03 user         0.01 sys
        0.58 real         0.03 user         0.01 sys
        0.56 real         0.03 user         0.01 sys
        0.58 real         0.03 user         0.00 sys
        0.56 real         0.03 user         0.01 sys
Analizing File:  montage.c
        1.10 real         0.22 user         0.01 sys
        1.07 real         0.22 user         0.01 sys
        1.41 real         0.31 user         0.01 sys
        1.46 real         0.29 user         0.02 sys
        1.08 real         0.22 user         0.01 sys
        1.07 real         0.23 user         0.01 sys
        1.09 real         0.22 user         0.01 sys
        1.10 real         0.21 user         0.01 sys
        1.07 real         0.24 user         0.01 sys
        1.15 real         0.22 user         0.01 sys
Analizing File:  morphology.c
        3.30 real         1.59 user         0.02 sys
        3.29 real         1.58 user         0.02 sys
        3.37 real         1.63 user         0.02 sys
        3.28 real         1.60 user         0.02 sys
        3.33 real         1.59 user         0.02 sys
        3.30 real         1.62 user         0.02 sys
        3.29 real         1.61 user         0.02 sys
        3.28 real         1.59 user         0.02 sys
        3.41 real         1.63 user         0.02 sys
        3.29 real         1.62 user         0.02 sys
Analizing File:  nt-base.c
        0.48 real         0.03 user         0.00 sys
        0.45 real         0.02 user         0.00 sys
        0.43 real         0.03 user         0.01 sys
        0.42 real         0.02 user         0.00 sys
        0.44 real         0.02 user         0.00 sys
        0.41 real         0.02 user         0.01 sys
        0.42 real         0.03 user         0.01 sys
        0.41 real         0.02 user         0.01 sys
        0.42 real         0.02 user         0.00 sys
        0.42 real         0.02 user         0.00 sys
Analizing File:  option.c
        1.76 real         0.25 user         0.01 sys
        1.77 real         0.26 user         0.01 sys
        1.79 real         0.25 user         0.01 sys
        1.84 real         0.26 user         0.01 sys
        1.81 real         0.28 user         0.01 sys
        1.77 real         0.25 user         0.01 sys
        1.84 real         0.27 user         0.02 sys
        2.36 real         0.29 user         0.02 sys
        1.81 real         0.28 user         0.01 sys
        1.82 real         0.25 user         0.01 sys
Analizing File:  paint.c
        1.25 real         0.25 user         0.01 sys
        1.24 real         0.24 user         0.01 sys
        1.28 real         0.25 user         0.01 sys
        1.26 real         0.25 user         0.01 sys
        1.28 real         0.26 user         0.01 sys
        1.25 real         0.24 user         0.01 sys
        1.24 real         0.24 user         0.01 sys
        1.26 real         0.25 user         0.01 sys
        1.26 real         0.25 user         0.01 sys
        1.29 real         0.26 user         0.01 sys
Analizing File:  pixel.c
        2.66 real         0.80 user         0.02 sys
        2.69 real         0.83 user         0.02 sys
        2.62 real         0.78 user         0.02 sys
        2.65 real         0.80 user         0.02 sys
        2.65 real         0.80 user         0.02 sys
        2.63 real         0.78 user         0.02 sys
        2.70 real         0.81 user         0.02 sys
        2.69 real         0.81 user         0.02 sys
        2.71 real         0.81 user         0.02 sys
        2.62 real         0.80 user         0.02 sys
Analizing File:  policy.c
        0.87 real         0.11 user         0.01 sys
        0.87 real         0.11 user         0.01 sys
        0.90 real         0.11 user         0.01 sys
        0.87 real         0.11 user         0.01 sys
        0.85 real         0.11 user         0.01 sys
        0.86 real         0.11 user         0.01 sys
        0.87 real         0.12 user         0.01 sys
        0.92 real         0.12 user         0.01 sys
        0.88 real         0.11 user         0.01 sys
        0.92 real         0.11 user         0.01 sys
Analizing File:  prepress.c
        0.70 real         0.04 user         0.01 sys
        0.66 real         0.04 user         0.01 sys
        0.69 real         0.04 user         0.01 sys
        0.68 real         0.05 user         0.01 sys
        0.70 real         0.05 user         0.01 sys
        0.70 real         0.04 user         0.01 sys
        0.68 real         0.04 user         0.01 sys
        0.70 real         0.04 user         0.01 sys
        0.68 real         0.05 user         0.01 sys
        0.72 real         0.04 user         0.01 sys
Analizing File:  profile.c
        1.11 real         0.17 user         0.01 sys
        1.12 real         0.16 user         0.01 sys
        1.11 real         0.16 user         0.01 sys
        1.11 real         0.18 user         0.01 sys
        1.08 real         0.17 user         0.01 sys
        1.09 real         0.16 user         0.01 sys
        1.14 real         0.17 user         0.01 sys
        1.12 real         0.16 user         0.01 sys
        1.11 real         0.16 user         0.01 sys
        1.12 real         0.16 user         0.01 sys
Analizing File:  property.c
        2.44 real         0.90 user         0.01 sys
        2.44 real         0.89 user         0.02 sys
        2.47 real         0.89 user         0.01 sys
        2.42 real         0.90 user         0.02 sys
        2.42 real         0.91 user         0.01 sys
        2.42 real         0.90 user         0.02 sys
        2.48 real         0.92 user         0.02 sys
        2.46 real         0.91 user         0.02 sys
        2.42 real         0.90 user         0.01 sys
        2.39 real         0.88 user         0.01 sys
Analizing File:  quantize.c
        1.80 real         0.44 user         0.01 sys
        1.81 real         0.44 user         0.01 sys
        1.78 real         0.43 user         0.01 sys
        1.89 real         0.44 user         0.01 sys
        1.79 real         0.42 user         0.01 sys
        1.82 real         0.45 user         0.01 sys
        1.80 real         0.45 user         0.01 sys
        1.85 real         0.42 user         0.01 sys
        1.79 real         0.42 user         0.01 sys
        1.95 real         0.45 user         0.01 sys
Analizing File:  quantum-export.c
        2.23 real         0.59 user         0.02 sys
        2.20 real         0.57 user         0.02 sys
        2.23 real         0.58 user         0.02 sys
        2.32 real         0.59 user         0.02 sys
        2.24 real         0.58 user         0.02 sys
        2.20 real         0.56 user         0.02 sys
        2.06 real         0.56 user         0.01 sys
        2.06 real         0.55 user         0.01 sys
        1.97 real         0.52 user         0.01 sys
        2.12 real         0.56 user         0.01 sys
Analizing File:  quantum-import.c
        2.22 real         0.60 user         0.01 sys
        2.22 real         0.59 user         0.01 sys
        2.24 real         0.61 user         0.01 sys
        2.24 real         0.60 user         0.01 sys
        2.25 real         0.60 user         0.01 sys
        2.29 real         0.61 user         0.01 sys
