Analizing File:  DynaLoader.c
        3.23 real         0.52 user         0.01 sys
        3.31 real         0.51 user         0.01 sys
Analizing File:  perlapi.c
        1.03 real         0.03 user         0.00 sys
        1.08 real         0.03 user         0.00 sys
        1.04 real         0.03 user         0.00 sys
        1.04 real         0.03 user         0.00 sys
        1.06 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.08 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.06 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
Analizing File:  perlio.c
        2.50 real         0.50 user         0.01 sys
        2.50 real         0.51 user         0.01 sys
        2.52 real         0.51 user         0.01 sys
        2.52 real         0.51 user         0.01 sys
        2.52 real         0.51 user         0.01 sys
        6.14 real         0.75 user         0.03 sys
        2.61 real         0.53 user         0.01 sys
        2.57 real         0.52 user         0.01 sys
        2.56 real         0.52 user         0.01 sys
        2.56 real         0.52 user         0.01 sys
Analizing File:  perlmain.c
        1.16 real         0.04 user         0.00 sys
        1.15 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.12 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.16 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.12 real         0.04 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.12 real         0.04 user         0.01 sys
Analizing File:  perly.c
        2.61 real         0.63 user         0.01 sys
        2.60 real         0.62 user         0.01 sys
        2.62 real         0.63 user         0.01 sys
        2.61 real         0.62 user         0.01 sys
        2.58 real         0.62 user         0.01 sys
        2.59 real         0.62 user         0.01 sys
        2.67 real         0.63 user         0.01 sys
        2.61 real         0.63 user         0.01 sys
        2.73 real         0.64 user         0.03 sys
        2.66 real         0.64 user         0.01 sys
Analizing File:  pp.c
        2.71 real         0.02 user         0.00 sys
        2.60 real         0.02 user         0.00 sys
        2.61 real         0.02 user         0.00 sys
        2.59 real         0.02 user         0.00 sys
        2.63 real         0.02 user         0.00 sys
        2.62 real         0.02 user         0.00 sys
        2.62 real         0.03 user         0.00 sys
        2.63 real         0.03 user         0.00 sys
        2.60 real         0.02 user         0.00 sys
        2.60 real         0.02 user         0.00 sys
Analizing File:  pp_ctl.c
        5.48 real         2.07 user         0.02 sys
        5.63 real         2.05 user         0.02 sys
        5.46 real         2.07 user         0.02 sys
        5.43 real         2.05 user         0.03 sys
        5.50 real         2.06 user         0.03 sys
        5.43 real         2.06 user         0.02 sys
        5.46 real         2.06 user         0.02 sys
        5.48 real         2.06 user         0.02 sys
        5.45 real         2.07 user         0.02 sys
        5.47 real         2.05 user         0.02 sys
Analizing File:  pp_hot.c
        3.77 real         1.18 user         0.02 sys
        3.79 real         1.17 user         0.02 sys
        3.78 real         1.17 user         0.02 sys
        3.78 real         1.17 user         0.02 sys
        3.77 real         1.17 user         0.02 sys
        3.97 real         1.25 user         0.02 sys
        3.78 real         1.17 user         0.02 sys
        3.78 real         1.18 user         0.02 sys
        3.79 real         1.18 user         0.02 sys
        3.76 real         1.17 user         0.02 sys
Analizing File:  pp_pack.c
        7.81 real         5.69 user         0.03 sys
        8.49 real         6.12 user         0.05 sys
        8.01 real         5.79 user         0.03 sys
        8.59 real         6.07 user         0.04 sys
        7.84 real         5.71 user         0.02 sys
        7.77 real         5.69 user         0.03 sys
        7.73 real         5.63 user         0.02 sys
        7.70 real         5.61 user         0.02 sys
        7.76 real         5.67 user         0.02 sys
        7.75 real         5.68 user         0.02 sys
Analizing File:  pp_sort.c
        1.36 real         0.02 user         0.00 sys
        1.28 real         0.03 user         0.00 sys
        1.42 real         0.03 user         0.00 sys
        1.26 real         0.02 user         0.00 sys
        1.30 real         0.03 user         0.00 sys
        1.31 real         0.02 user         0.00 sys
        1.31 real         0.02 user         0.00 sys
        1.43 real         0.02 user         0.00 sys
        1.30 real         0.02 user         0.00 sys
        1.25 real         0.02 user         0.00 sys
Analizing File:  pp_sys.c
        3.57 real         0.90 user         0.04 sys
        3.98 real         0.96 user         0.02 sys
        3.53 real         0.92 user         0.02 sys
        3.43 real         0.88 user         0.01 sys
        3.97 real         0.92 user         0.02 sys
        3.44 real         0.88 user         0.02 sys
        3.50 real         0.88 user         0.02 sys
        3.54 real         0.89 user         0.04 sys
        3.44 real         0.88 user         0.02 sys
        3.50 real         0.90 user         0.02 sys
Analizing File:  reentr.c
        1.08 real         0.03 user         0.00 sys
        1.07 real         0.03 user         0.00 sys
        1.10 real         0.03 user         0.00 sys
