Analizing File:  DynaLoader.c
        1.40 real         0.10 user         0.01 sys
        1.34 real         0.10 user         0.00 sys
        1.38 real         0.10 user         0.01 sys
        1.36 real         0.10 user         0.00 sys
        1.29 real         0.10 user         0.01 sys
        1.44 real         0.11 user         0.01 sys
        1.36 real         0.10 user         0.01 sys
        1.23 real         0.10 user         0.01 sys
        1.34 real         0.10 user         0.03 sys
        1.27 real         0.10 user         0.01 sys
Analizing File:  via.c
        1.65 real         0.17 user         0.01 sys
        1.67 real         0.17 user         0.01 sys
        1.63 real         0.19 user         0.01 sys
        1.52 real         0.17 user         0.01 sys
        1.60 real         0.18 user         0.01 sys
        1.47 real         0.17 user         0.01 sys
        1.52 real         0.16 user         0.01 sys
        1.60 real         0.16 user         0.01 sys
        1.47 real         0.17 user         0.01 sys
        1.54 real         0.16 user         0.01 sys
Analizing File:  Hostname.c
        1.17 real         0.04 user         0.00 sys
        1.26 real         0.04 user         0.01 sys
        1.17 real         0.03 user         0.00 sys
        1.60 real         0.04 user         0.00 sys
        1.22 real         0.04 user         0.00 sys
        1.16 real         0.04 user         0.00 sys
        1.17 real         0.04 user         0.00 sys
        1.19 real         0.03 user         0.02 sys
        1.14 real         0.03 user         0.00 sys
        1.29 real         0.04 user         0.01 sys
Analizing File:  NamedCapture.c
        1.27 real         0.09 user         0.01 sys
        1.20 real         0.09 user         0.01 sys
        1.18 real         0.08 user         0.01 sys
        1.33 real         0.09 user         0.01 sys
        1.17 real         0.08 user         0.01 sys
        1.16 real         0.09 user         0.01 sys
        1.16 real         0.08 user         0.00 sys
        1.17 real         0.08 user         0.00 sys
        1.23 real         0.08 user         0.01 sys
        1.27 real         0.08 user         0.01 sys
Analizing File:  stdio.c
        0.24 real         0.04 user         0.00 sys
        0.14 real         0.03 user         0.00 sys
        0.16 real         0.03 user         0.00 sys
        0.16 real         0.04 user         0.01 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.13 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.13 real         0.04 user         0.00 sys
Analizing File:  arybase.c
        1.50 real         0.16 user         0.01 sys
        1.58 real         0.15 user         0.01 sys
        1.46 real         0.16 user         0.01 sys
        1.47 real         0.16 user         0.01 sys
        2.08 real         0.21 user         0.01 sys
        1.62 real         0.19 user         0.01 sys
        1.47 real         0.15 user         0.01 sys
        1.48 real         0.17 user         0.01 sys
        2.00 real         0.19 user         0.03 sys
        1.62 real         0.17 user         0.01 sys
Analizing File:  attributes.c
        1.30 real         0.10 user         0.01 sys
        1.43 real         0.11 user         0.00 sys
        1.27 real         0.11 user         0.01 sys
        1.29 real         0.10 user         0.01 sys
        1.28 real         0.09 user         0.01 sys
        1.27 real         0.09 user         0.00 sys
        1.32 real         0.09 user         0.00 sys
        1.28 real         0.10 user         0.00 sys
        1.29 real         0.09 user         0.00 sys
        1.43 real         0.10 user         0.01 sys
Analizing File:  mro.c
        1.58 real         0.23 user         0.01 sys
        1.58 real         0.23 user         0.01 sys
        1.59 real         0.22 user         0.01 sys
        1.60 real         0.21 user         0.01 sys
        1.60 real         0.22 user         0.01 sys
        1.54 real         0.22 user         0.01 sys
        1.57 real         0.22 user         0.01 sys
        1.68 real         0.23 user         0.03 sys
        1.59 real         0.23 user         0.01 sys
        1.57 real         0.22 user         0.01 sys
Analizing File:  re.c
        1.32 real         0.05 user         0.01 sys
        1.45 real         0.05 user         0.00 sys
        1.31 real         0.06 user         0.01 sys
        1.37 real         0.06 user         0.01 sys
        1.13 real         0.05 user         0.00 sys
        1.22 real         0.05 user         0.01 sys
        1.20 real         0.05 user         0.02 sys
        1.43 real         0.05 user         0.00 sys
        1.47 real         0.05 user         0.00 sys
        1.29 real         0.05 user         0.01 sys
Analizing File:  re_comp.c
