FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
SDL_blit_0.c,BlitBtoNAlphaKey-10,set(['1']),set([])
SDL_blit_0.c,BlitBto2Key-1,set(['1']),set([])
SDL_blit_0.c,BlitBto2-0,set(['1']),set([])
SDL_blit_0.c,BlitBto1-2,"set(['2', '21'])",set([])
SDL_blit_0.c,BlitBto1-0,"set(['12', '21'])",set([])
SDL_blit_0.c,BlitBto1-1,"set(['2', '12'])",set([])
SDL_blit_0.c,BlitBto4-1,set(['1']),set([])
SDL_blit_0.c,BlitBtoNAlpha-10,set(['1']),set([])
SDL_blit_0.c,BlitBto4-0,set(['1']),set([])
SDL_blit_0.c,BlitBto4Key-1,set(['1']),set([])
SDL_blit_0.c,BlitBto3-0,set(['1']),set([])
SDL_blit_0.c,BlitBto3-1,set(['1']),set([])
SDL_clipboard.c,SDL_GetClipboardText_REAL-1,set(['7']),set([])
SDL_rotate.c,transformSurfaceY-6,set(['1']),set([])
SDL_rotate.c,transformSurfaceY-4,"set(['1', '3'])",set([])
SDL_rotate.c,transformSurfaceY-2,set(['1']),set([])
SDL_rotate.c,transformSurfaceY-3,set(['1']),set([])
SDL_rotate.c,transformSurfaceY-1,set(['1']),set([])
SDL_rotate.c,SDLgfx_rotateSurface-5,set(['51']),set([])
SDL_rotate.c,SDLgfx_rotateSurface-4,set(['51']),set([])
SDL_rotate.c,SDLgfx_rotateSurface-3,"set(['19', '51', '21'])",set([])
SDL_rotate.c,_transformSurfaceRGBA-1,"set(['24', '2'])",set([])
SDL_rotate.c,_transformSurfaceRGBA-2,"set(['24', '2'])",set([])
SDL_rotate.c,_transformSurfaceRGBA-3,"set(['24', '2'])",set([])
SDL_rotate.c,_transformSurfaceRGBA-4,"set(['24', '26', '2', '4'])",set([])
SDL_rotate.c,_transformSurfaceRGBA-6,"set(['24', '2'])",set([])
SDL_systhread.c,SDL_SYS_SetThreadPriority-2,set(['42']),set([])
SDL_sysmutex.c,SDL_TryLockMutex_REAL-2,set(['8']),set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOneBluetooth_HandleButtons-4,set(['22']),set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOneBluetooth_HandleButtons-3,set(['22']),set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOneBluetooth_HandleButtons-2,set(['22']),set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOne_UpdateRumble-0,"set(['9', '4'])",set([])
SDL_hidapi_xboxone.c,HIDAPI_DriverXboxOneBluetooth_HandleButtons-1,set(['22']),set([])
SDL_hidapi_xboxone.c,SendControllerInit-1,set(['1']),set([])
