Analizing File:  tga.c
        1.06 real         0.17 user         0.01 sys
Analizing File:  magic.c
        0.93 real         0.12 user         0.01 sys
        0.93 real         0.12 user         0.01 sys
        0.94 real         0.13 user         0.01 sys
        0.93 real         0.13 user         0.01 sys
        0.93 real         0.12 user         0.01 sys
        0.94 real         0.13 user         0.01 sys
        0.92 real         0.13 user         0.01 sys
        0.94 real         0.12 user         0.01 sys
        0.93 real         0.13 user         0.01 sys
        0.93 real         0.13 user         0.01 sys
Analizing File:  magick.c
        1.01 real         0.13 user         0.01 sys
        1.00 real         0.13 user         0.01 sys
        1.00 real         0.13 user         0.01 sys
        1.00 real         0.13 user         0.01 sys
        1.00 real         0.13 user         0.01 sys
        1.00 real         0.13 user         0.01 sys
        1.00 real         0.12 user         0.01 sys
        0.99 real         0.13 user         0.01 sys
        1.01 real         0.14 user         0.01 sys
        1.02 real         0.13 user         0.01 sys
Analizing File:  matrix.c
        1.05 real         0.14 user         0.01 sys
        1.00 real         0.14 user         0.01 sys
        1.00 real         0.15 user         0.01 sys
        1.00 real         0.15 user         0.01 sys
        1.00 real         0.14 user         0.01 sys
        1.01 real         0.15 user         0.01 sys
        1.00 real         0.14 user         0.01 sys
        1.01 real         0.15 user         0.01 sys
        1.00 real         0.15 user         0.01 sys
        0.99 real         0.14 user         0.01 sys
Analizing File:  memory.c
        0.75 real         0.07 user         0.01 sys
        0.73 real         0.07 user         0.01 sys
        0.72 real         0.07 user         0.01 sys
        0.74 real         0.07 user         0.01 sys
        0.73 real         0.06 user         0.01 sys
        0.72 real         0.07 user         0.01 sys
        0.73 real         0.07 user         0.01 sys
        0.73 real         0.07 user         0.01 sys
        0.73 real         0.08 user         0.01 sys
        0.72 real         0.07 user         0.01 sys
Analizing File:  mime.c
        0.96 real         0.13 user         0.01 sys
        0.94 real         0.12 user         0.01 sys
        0.93 real         0.12 user         0.01 sys
        0.93 real         0.13 user         0.01 sys
        0.94 real         0.13 user         0.01 sys
        0.93 real         0.13 user         0.01 sys
        0.95 real         0.12 user         0.01 sys
        0.93 real         0.12 user         0.01 sys
        0.94 real         0.12 user         0.01 sys
        0.96 real         0.12 user         0.01 sys
Analizing File:  module.c
        0.75 real         0.04 user         0.01 sys
        0.72 real         0.04 user         0.01 sys
        0.71 real         0.04 user         0.01 sys
        0.73 real         0.04 user         0.01 sys
        0.71 real         0.04 user         0.01 sys
        0.73 real         0.04 user         0.01 sys
        0.74 real         0.04 user         0.01 sys
        0.72 real         0.04 user         0.01 sys
        0.71 real         0.04 user         0.01 sys
        0.72 real         0.05 user         0.01 sys
Analizing File:  monitor.c
        0.58 real         0.04 user         0.01 sys
        0.58 real         0.03 user         0.01 sys
        0.58 real         0.03 user         0.01 sys
        0.56 real         0.03 user         0.01 sys
        0.57 real         0.04 user         0.01 sys
        0.56 real         0.03 user         0.01 sys
        0.57 real         0.03 user         0.01 sys
        0.59 real         0.03 user         0.01 sys
        0.57 real         0.03 user         0.01 sys
        0.56 real         0.03 user         0.01 sys
Analizing File:  montage.c
        1.14 real         0.19 user         0.01 sys
        1.01 real         0.18 user         0.01 sys
        1.02 real         0.18 user         0.01 sys
        1.02 real         0.18 user         0.01 sys
        1.02 real         0.18 user         0.01 sys
        1.02 real         0.18 user         0.01 sys
        1.01 real         0.18 user         0.01 sys
        1.01 real         0.18 user         0.01 sys
        1.01 real         0.17 user         0.01 sys
        1.01 real         0.18 user         0.01 sys
Analizing File:  morphology.c
        2.44 real         0.81 user         0.01 sys
        2.45 real         0.81 user         0.01 sys
        2.43 real         0.82 user         0.01 sys
        2.51 real         0.82 user         0.02 sys
        2.43 real         0.81 user         0.01 sys
        2.47 real         0.82 user         0.02 sys
        2.46 real         0.81 user         0.01 sys
        2.45 real         0.81 user         0.01 sys
        2.47 real         0.84 user         0.02 sys
        2.49 real         0.81 user         0.01 sys
Analizing File:  nt-base.c
        0.42 real         0.03 user         0.01 sys
        0.43 real         0.03 user         0.01 sys
        0.42 real         0.03 user         0.00 sys
        0.43 real         0.03 user         0.01 sys
        0.43 real         0.03 user         0.01 sys
        0.43 real         0.03 user         0.01 sys
        0.43 real         0.03 user         0.01 sys
        0.42 real         0.03 user         0.00 sys
        0.44 real         0.03 user         0.01 sys
        0.42 real         0.03 user         0.00 sys
Analizing File:  option.c
        1.73 real         0.24 user         0.01 sys
        1.72 real         0.24 user         0.01 sys
        1.72 real         0.25 user         0.01 sys
        1.73 real         0.25 user         0.01 sys
        1.87 real         0.25 user         0.01 sys
        1.73 real         0.24 user         0.01 sys
        1.72 real         0.24 user         0.01 sys
        1.73 real         0.25 user         0.01 sys
        1.73 real         0.25 user         0.01 sys
        1.72 real         0.24 user         0.01 sys
Analizing File:  paint.c
        1.18 real         0.20 user         0.01 sys
        1.17 real         0.20 user         0.01 sys
        1.18 real         0.20 user         0.01 sys
        1.17 real         0.20 user         0.01 sys
        1.17 real         0.21 user         0.01 sys
        1.17 real         0.21 user         0.01 sys
        1.17 real         0.21 user         0.01 sys
        1.17 real         0.21 user         0.01 sys
        1.17 real         0.20 user         0.01 sys
        1.16 real         0.20 user         0.01 sys
Analizing File:  pixel.c
        2.56 real         0.71 user         0.02 sys
        2.51 real         0.73 user         0.02 sys
        2.55 real         0.72 user         0.02 sys
        2.54 real         0.73 user         0.02 sys
        2.55 real         0.72 user         0.02 sys
        2.51 real         0.71 user         0.01 sys
        2.49 real         0.71 user         0.02 sys
        2.50 real         0.71 user         0.01 sys
        2.49 real         0.71 user         0.01 sys
        2.51 real         0.70 user         0.02 sys
Analizing File:  policy.c
        0.86 real         0.11 user         0.01 sys
        0.84 real         0.10 user         0.01 sys
        0.84 real         0.10 user         0.01 sys
        0.84 real         0.10 user         0.01 sys
        0.84 real         0.11 user         0.01 sys
        0.84 real         0.10 user         0.01 sys
        0.84 real         0.11 user         0.01 sys
        0.83 real         0.11 user         0.01 sys
        0.84 real         0.10 user         0.01 sys
        0.83 real         0.11 user         0.01 sys
Analizing File:  prepress.c
        0.69 real         0.04 user         0.01 sys
        0.68 real         0.05 user         0.01 sys
        0.67 real         0.05 user         0.01 sys
        0.67 real         0.05 user         0.01 sys
        0.69 real         0.04 user         0.01 sys
        0.68 real         0.05 user         0.01 sys
        0.67 real         0.04 user         0.01 sys
        0.66 real         0.05 user         0.01 sys
        0.67 real         0.05 user         0.01 sys
        0.66 real         0.04 user         0.01 sys
Analizing File:  profile.c
        1.06 real         0.15 user         0.01 sys
        1.07 real         0.16 user         0.01 sys
        1.06 real         0.15 user         0.01 sys
        1.06 real         0.15 user         0.01 sys
        1.05 real         0.15 user         0.01 sys
        1.05 real         0.15 user         0.01 sys
        1.05 real         0.15 user         0.01 sys
        1.05 real         0.15 user         0.01 sys
        1.06 real         0.15 user         0.01 sys
        1.06 real         0.15 user         0.01 sys
Analizing File:  property.c
        2.12 real         0.64 user         0.01 sys
        2.13 real         0.65 user         0.01 sys
        2.16 real         0.65 user         0.01 sys
        2.11 real         0.64 user         0.01 sys
