Analizing File:  alias.c
        4.21 real         0.61 user         0.02 sys
Analizing File:  cfgloopanal.c
        2.44 real         0.24 user         0.01 sys
        2.43 real         0.23 user         0.01 sys
        2.46 real         0.23 user         0.01 sys
        2.42 real         0.23 user         0.01 sys
        2.43 real         0.23 user         0.01 sys
        2.43 real         0.24 user         0.01 sys
        2.45 real         0.23 user         0.01 sys
        2.47 real         0.23 user         0.01 sys
        2.42 real         0.23 user         0.01 sys
        2.48 real         0.23 user         0.01 sys
Analizing File:  cfgloopmanip.c
        4.15 real         0.66 user         0.02 sys
        4.28 real         0.66 user         0.02 sys
        4.14 real         0.66 user         0.02 sys
        4.24 real         0.66 user         0.01 sys
        4.15 real         0.66 user         0.01 sys
        4.21 real         0.66 user         0.03 sys
        4.17 real         0.66 user         0.02 sys
        4.31 real         0.66 user         0.02 sys
        4.28 real         0.67 user         0.02 sys
        4.64 real         0.70 user         0.02 sys
Analizing File:  cfgrtl.c
        5.65 real         1.00 user         0.03 sys
        6.65 real         0.97 user         0.04 sys
        6.03 real         1.00 user         0.02 sys
        5.36 real         1.01 user         0.03 sys
        5.57 real         1.18 user         0.03 sys
        4.80 real         0.95 user         0.02 sys
        5.13 real         1.06 user         0.04 sys
        4.94 real         0.93 user         0.02 sys
        6.00 real         0.97 user         0.02 sys
        7.17 real         1.28 user         0.06 sys
Analizing File:  cgraph.c
        6.14 real         0.76 user         0.03 sys
        4.61 real         0.63 user         0.02 sys
        5.18 real         0.68 user         0.02 sys
        4.61 real         0.62 user         0.02 sys
        4.69 real         0.67 user         0.02 sys
        4.82 real         0.68 user         0.02 sys
        4.74 real         0.65 user         0.02 sys
        4.61 real         0.64 user         0.02 sys
        4.88 real         0.64 user         0.02 sys
        4.56 real         0.64 user         0.02 sys
Analizing File:  cgraphbuild.c
        3.19 real         0.19 user         0.01 sys
        4.57 real         0.25 user         0.01 sys
        4.96 real         0.30 user         0.04 sys
        3.20 real         0.20 user         0.01 sys
        3.90 real         0.25 user         0.01 sys
        4.29 real         0.25 user         0.03 sys
        3.61 real         0.22 user         0.01 sys
        3.81 real         0.24 user         0.04 sys
        3.35 real         0.22 user         0.01 sys
        3.41 real         0.22 user         0.01 sys
Analizing File:  cgraphunit.c
        4.52 real         0.69 user         0.02 sys
        4.89 real         0.71 user         0.04 sys
        5.47 real         0.75 user         0.02 sys
        6.42 real         0.91 user         0.06 sys
        6.94 real         0.84 user         0.05 sys
        8.34 real         0.99 user         0.06 sys
        4.84 real         0.75 user         0.03 sys
        7.62 real         0.99 user         0.05 sys
        4.56 real         0.71 user         0.02 sys
        4.79 real         0.76 user         0.02 sys
